Ticker,Fund Name,Segment,% Allocation,Market Value,# Of Shares,Shares Held,30 Day,Strategy
VXF,Vanguard Extended Market ETF,Equity: U.S. - Extended Market,0.09%,$16.98M,733.93K,733930,-3.50%,Vanilla
IWS,IShares Russell Mid-Cap Value ETF,Equity: U.S. - Mid Cap Value,0.09%,$10.75M,426.08K,426080,-3.06%,Value
CVMC,Calvert US Mid-Cap Core Responsible Index ETF,Equity: U.S. - Mid Cap,0.08%,$45.12K,1.79K,1790,-3.37%,ESG
IWR,IShares Russell Mid-Cap ETF,Equity: U.S. - Mid Cap,0.06%,$20.53M,813.87K,813870,-2.45%,Vanilla
FMDE,Fidelity Enhanced Mid Cap ETF,Equity: U.S. - Mid Cap,0.04%,$640.46K,25.39K,25390,-2.43%,Active
HKND,Humankind U.S. Stock ETF,Equity: U.S. - Total Market,0.04%,$54.55K,2.16K,2160,-0.78%,ESG
IUSV,IShares Core S&P U.S. Value ETF,Equity: U.S. - Total Market Value,0.03%,$5.61M,222.27K,222270,-1.99%,Value
IWD,IShares Russell 1000 Value ETF,Equity: U.S. - Large Cap Value,0.03%,$17.38M,689.17K,689170,-2.22%,Value
GVUS,Goldman Sachs MarketBeta Russell 1000 Value Equity ETF,Equity: U.S. - Large Cap Value,0.03%,$150.06K,5.95K,5950,-2.31%,Value
SCHV,Schwab U.S. Large-Cap Value ETF,Equity: U.S. - Large Cap Value,0.03%,$3.36M,133.12K,133120,-1.57%,Value
VONV,Vanguard Russell 1000 Value ETF,Equity: U.S. - Large Cap Value,0.03%,$2.39M,103.29K,103290,-2.21%,Value
AVSU,Avantis Responsible U.S. Equity ETF,Equity: U.S. - Total Market,0.03%,$73.64K,2.92K,2920,1.04%,Active
DSI,IShares MSCI KLD 400 Social ETF,Equity: U.S. - Total Market,0.03%,$1.24M,49.09K,49090,4.19%,ESG
VLU,SPDR S&P 1500 Value Tilt ETF,Equity: U.S. - Total Market Value,0.02%,$82.19K,3.26K,3260,-1.78%,Value
PRF,Invesco FTSE RAFI U.S. 1000 ETF,Equity: U.S. - Large Cap,0.02%,$1.54M,61.17K,61170,-1.52%,Fundamental
FNDB,Schwab Fundamental U.S. Broad Market Index ETF,Equity: U.S. - Total Market,0.02%,$170.76K,6.77K,6770,-1.02%,Fundamental
